order_detail_id, order_id, product_id, quantity, discount
1,2509,21,5,0.05
2,531,70,1,0
3,146,128,5,0
4,2664,90,4,0.05
5,1243,59,1,0
6,108,199,2,0.1
7,2491,98,1,0.1
8,1975,14,4,0.2
9,1546,179,2,0.05
10,2873,110,5,0
11,474,113,1,0.1
12,1507,91,2,0
13,1789,15,2,0
14,377,151,1,0
15,1692,192,5,0.1
16,188,4,2,0.2
17,233,20,1,0
18,1797,47,3,0
19,1287,90,5,0.15
20,1001,75,2,0.1
21,1630,123,1,0.15
22,315,20,3,0.1
23,844,127,3,0.2
24,903,114,3,0
25,2259,75,2,0.1
26,1096,82,5,0.1
27,428,14,3,0.05
28,2890,160,4,0
29,322,53,2,0.2
30,2134,60,3,0.15
31,2265,54,1,0
32,2970,37,1,0
33,2861,113,4,0
34,88,128,1,0
35,1139,151,4,0
36,347,16,3,0.2
37,2498,99,4,0
38,1568,99,4,0
39,920,53,4,0
40,2704,111,5,0
41,2706,79,1,0.1
42,1425,7,5,0.2
43,1378,68,5,0
44,113,88,5,0.05
45,1752,187,1,0.2
46,448,142,4,0.15
47,2777,74,5,0.05
48,1737,147,5,0.2
49,2126,67,2,0.05
50,1915,191,2,0
51,63,72,3,0
52,1024,198,5,0
53,1383,147,4,0
54,2522,71,3,0
55,2701,65,5,0
56,510,79,5,0.15
57,1315,68,2,0.05
58,1896,5,4,0
59,1911,10,3,0.05
60,2613,143,2,0.05
61,240,149,1,0
62,2500,142,3,0
63,1805,47,3,0.2
64,1132,67,4,0
65,932,162,2,0
66,2532,168,1,0
67,469,168,1,0
68,2804,130,4,0.1
69,1300,11,5,0.15
70,934,16,3,0
71,67,174,3,0.1
72,2943,12,5,0
73,1433,28,1,0.1
74,1818,29,5,0
75,971,53,3,0.1
76,1522,175,4,0
77,2630,110,3,0
78,102,84,5,0.2
79,1476,86,4,0.15
80,1535,121,3,0.1
81,128,42,3,0
82,1192,39,5,0
83,436,156,2,0.2
84,1283,131,5,0.2
85,2382,183,3,0
86,1552,150,1,0.15
87,2975,39,4,0.2
88,2660,21,1,0
89,2316,129,5,0.15
90,2246,188,4,0.1
91,497,136,1,0.1
92,1935,169,5,0.1
93,1807,82,3,0
94,2357,76,2,0
95,996,197,3,0
96,1868,81,1,0.15
97,988,114,4,0
98,327,91,5,0.1
99,314,93,4,0.1
100,944,115,4,0
101,2333,33,5,0
102,1670,173,5,0.15
103,566,156,3,0.2
104,1176,88,3,0
105,334,105,4,0.1
106,608,148,4,0.15
107,812,47,4,0
108,684,31,4,0
109,2272,183,4,0.15
110,414,33,1,0.2
111,1768,7,2,0
112,543,132,5,0.05
113,1730,91,2,0.05
114,2855,143,2,0.15
115,1202,31,3,0.2
116,1379,152,5,0.1
117,442,185,1,0
118,1454,115,4,0.15
119,1843,190,4,0
120,1955,180,2,0.15
121,752,186,5,0.2
122,2087,22,2,0
123,2432,152,3,0.15
124,2660,117,4,0
125,1797,46,5,0.15
126,2409,72,1,0
127,1218,127,3,0
128,2311,133,5,0.1
129,2082,110,3,0
130,1574,82,2,0
131,172,189,2,0.05
132,2127,72,5,0.1
133,1288,26,3,0
134,679,31,3,0
135,1994,113,2,0
136,1182,67,5,0.2
137,435,60,3,0
138,394,53,5,0.2
139,2084,194,2,0
140,2452,11,5,0.1
141,800,2,4,0.2
142,106,95,2,0
143,2340,110,4,0.1
144,517,117,3,0
145,2934,181,1,0.05
146,1771,127,3,0
147,561,72,1,0
148,324,191,2,0.15
149,305,84,2,0.1
150,1374,71,4,0.15
151,2101,173,1,0.15
152,2818,81,1,0.05
153,412,181,5,0
154,780,143,1,0.15
155,2570,3,2,0
156,2402,97,2,0.15
157,802,68,4,0
158,1985,48,4,0
159,540,51,1,0.1
160,2963,192,2,0
161,1779,18,4,0.1
162,2504,54,2,0
163,1713,177,3,0.1
164,1558,162,5,0
165,2613,90,4,0.1
166,2691,47,3,0.2
167,950,75,4,0.05
168,2581,101,5,0
169,2226,124,3,0
170,897,29,3,0.05
171,1832,84,2,0.15
172,1741,30,2,0.05
173,1307,170,1,0
174,2855,102,2,0.2
175,1982,126,5,0.05
176,2815,61,1,0
177,1098,130,2,0.2
178,1676,16,5,0.2
179,1324,67,3,0.05
180,1604,114,4,0.05
181,1068,14,3,0.05
182,2983,57,3,0.15
183,187,79,4,0.05
184,907,147,2,0.1
185,845,200,1,0.1
186,2502,85,2,0.1
187,2211,6,1,0.2
188,1554,24,3,0
189,2265,17,1,0.1
190,863,93,5,0
191,644,138,4,0.2
192,2941,59,3,0.2
193,662,96,3,0.05
194,884,142,2,0
195,148,6,5,0
196,2055,102,4,0
197,643,73,3,0
198,943,162,2,0
199,1116,192,1,0.2
200,1548,168,4,0
201,1106,22,1,0
202,2067,185,4,0
203,61,191,5,0.1
204,622,25,5,0.2
205,1603,50,5,0.2
206,1279,83,4,0.1
207,96,78,3,0.05
208,831,26,3,0.15
209,2361,121,4,0
210,1760,24,2,0.05
211,2298,72,4,0
212,2879,137,5,0
213,1567,5,4,0.15
214,1613,96,5,0.15
215,444,116,2,0.1
216,102,102,2,0.05
217,1515,123,5,0
218,2633,80,3,0
219,2581,22,1,0.1
220,694,54,4,0.1
221,1024,22,2,0.05
222,2526,122,5,0.15
223,2321,195,2,0
224,2022,65,4,0
225,1384,39,1,0
226,2823,145,5,0.05
227,23,69,2,0.2
228,2304,126,5,0.05
229,1283,167,2,0
230,1890,182,4,0.1
231,2273,190,1,0
232,1744,180,1,0.05
233,522,194,1,0
234,2130,192,1,0
235,809,113,1,0
236,1738,127,2,0.15
237,2149,125,2,0.15
238,2241,108,4,0
239,1216,31,4,0
240,2949,174,3,0.1
241,1321,158,3,0.1
242,2664,43,2,0
243,2144,176,2,0.2
244,2515,183,3,0.1
245,2477,65,4,0.05
246,863,85,2,0
247,2148,184,4,0
248,1302,107,2,0
249,1928,18,1,0
250,2874,49,2,0.15
251,385,138,4,0
252,388,16,5,0.05
253,2435,41,1,0
254,2607,144,2,0
255,2576,4,2,0
256,1165,110,5,0.15
257,1253,95,5,0.2
258,1652,66,5,0.1
259,2628,169,2,0
260,2428,40,1,0.15
261,887,72,2,0
262,2309,27,2,0.2
263,2140,151,4,0
264,2358,198,5,0.1
265,1136,189,5,0.15
266,1940,54,2,0
267,950,56,1,0.2
268,2519,38,2,0
269,1948,1,3,0
270,214,36,5,0.2
271,1801,109,4,0
272,1240,129,1,0
273,2295,101,4,0.2
