 order_id, customer_id, order_date, order_status
1,638,09-09-2025,Delivered
2,329,10-01-2025,Delivered
3,51,01-10-2025,Delivered
4,191,22-02-2025,Delivered
5,276,06-03-2025,Returned
6,449,05-01-2025,Delivered
7,93,19-03-2025,Delivered
8,506,22-04-2025,Delivered
9,431,09-06-2025,Delivered
10,381,26-08-2025,Returned
11,811,17-01-2025,Delivered
12,83,16-03-2025,Delivered
13,273,20-07-2025,Delivered
14,557,29-08-2025,Delivered
15,197,09-05-2025,Delivered
16,849,07-01-2025,Delivered
17,998,08-05-2025,Delivered
18,790,15-08-2025,Delivered
19,756,18-01-2025,Delivered
20,472,18-02-2025,Cancelled
21,682,17-04-2025,Delivered
22,399,15-12-2025,Delivered
23,959,15-06-2025,Delivered
24,645,22-01-2025,Returned
25,960,09-10-2025,Cancelled
26,126,10-05-2025,Delivered
27,654,02-06-2025,Delivered
28,370,27-01-2025,Returned
29,224,27-02-2025,Delivered
30,649,11-08-2025,Delivered
31,16,27-03-2025,Delivered
32,599,03-03-2025,Delivered
33,809,05-05-2025,Delivered
34,993,22-01-2025,Cancelled
35,803,20-12-2025,Delivered
36,705,02-11-2025,Delivered
37,381,15-02-2025,Delivered
38,162,13-09-2025,Delivered
39,703,13-11-2025,Delivered
40,954,17-11-2025,Delivered
41,62,02-07-2025,Returned
42,158,26-12-2025,Cancelled
43,811,24-02-2025,Delivered
44,500,30-04-2025,Delivered
45,572,27-11-2025,Delivered
46,825,13-08-2025,Returned
47,198,11-01-2025,Returned
48,387,03-07-2025,Returned
49,138,09-05-2025,Delivered
50,497,28-12-2025,Delivered
51,573,31-05-2025,Cancelled
52,714,08-09-2025,Delivered
53,581,06-04-2025,Cancelled
54,357,15-06-2025,Returned
55,480,21-05-2025,Cancelled
56,937,11-10-2025,Delivered
57,71,29-09-2025,Delivered
58,461,01-06-2025,Delivered
59,555,07-07-2025,Delivered
60,1,23-11-2025,Cancelled
61,389,05-04-2025,Delivered
62,635,06-07-2025,Cancelled
63,245,14-06-2025,Returned
64,65,04-12-2025,Cancelled
65,839,18-07-2025,Delivered
66,537,16-12-2025,Delivered
67,785,10-10-2025,Delivered
68,628,25-05-2025,Delivered
69,420,25-11-2025,Delivered
70,114,19-02-2025,Cancelled
71,675,04-02-2025,Delivered
72,856,08-03-2025,Delivered
73,895,17-01-2025,Delivered
74,110,06-09-2025,Delivered
75,102,17-01-2025,Cancelled
76,658,18-07-2025,Returned
77,502,27-09-2025,Cancelled
78,719,30-10-2025,Delivered
79,51,07-07-2025,Delivered
80,621,06-02-2025,Delivered
81,953,17-04-2025,Returned
82,504,10-02-2025,Delivered
83,821,24-11-2025,Delivered
84,370,13-10-2025,Returned
85,961,01-08-2025,Delivered
86,814,29-12-2025,Delivered
87,844,12-11-2025,Delivered
88,542,21-01-2025,Returned
89,73,05-06-2025,Delivered
90,968,21-04-2025,Cancelled
91,100,21-02-2025,Returned
92,237,30-09-2025,Delivered
93,195,09-04-2025,Cancelled
94,673,08-05-2025,Cancelled
95,641,02-04-2025,Cancelled
96,768,13-10-2025,Delivered
97,765,24-02-2025,Returned
98,591,03-07-2025,Returned
99,470,26-12-2025,Returned
100,438,23-02-2025,Delivered
101,812,03-04-2025,Cancelled
102,412,16-09-2025,Delivered
103,674,22-03-2025,Cancelled
104,615,15-08-2025,Delivered
105,925,11-06-2025,Cancelled
106,333,10-07-2025,Delivered
107,783,21-11-2025,Delivered
108,846,15-06-2025,Cancelled
109,247,16-10-2025,Cancelled
110,220,12-07-2025,Cancelled
111,949,11-05-2025,Delivered
112,985,20-08-2025,Delivered
113,983,23-07-2025,Delivered
114,744,18-01-2025,Delivered
115,611,09-01-2025,Cancelled
116,139,04-06-2025,Delivered
117,308,24-04-2025,Delivered
118,877,11-06-2025,Delivered
119,791,20-12-2025,Delivered
120,942,11-10-2025,Cancelled
121,570,20-10-2025,Cancelled
122,159,18-02-2025,Delivered
123,472,02-07-2025,Delivered
124,142,16-05-2025,Delivered
125,911,26-10-2025,Delivered
126,239,12-05-2025,Delivered
127,95,20-10-2025,Delivered
128,583,22-04-2025,Returned
129,80,16-06-2025,Delivered
130,178,07-09-2025,Returned
131,720,23-10-2025,Delivered
132,610,25-11-2025,Delivered
133,39,23-10-2025,Delivered
134,81,29-01-2025,Delivered
135,357,11-08-2025,Delivered
136,953,03-03-2025,Delivered
137,766,01-12-2025,Cancelled
138,951,06-01-2025,Returned
139,797,20-11-2025,Delivered
140,56,06-06-2025,Cancelled
141,43,13-06-2025,Cancelled
142,579,18-03-2025,Delivered
143,515,24-12-2025,Delivered
144,157,26-01-2025,Returned
145,750,21-07-2025,Delivered
146,771,01-11-2025,Cancelled
147,517,16-02-2025,Delivered
148,443,29-05-2025,Delivered
149,152,09-03-2025,Delivered
