payment_id, order_id, payment_method, payment_status, payment_amount
1,1,Cash,Paid,56137.24
2,2,Net Banking,Paid,53172.52
3,3,Cash,Paid,69329.7
4,4,Net Banking,Paid,17842.21
5,5,Debit Card,Paid,76788.53
6,6,Credit Card,Paid,6350.09
7,7,UPI,Paid,23160.57
8,8,Credit Card,Paid,6892.09
9,9,Net Banking,Paid,88891.22
10,10,Net Banking,Paid,1362.9
11,11,Net Banking,Paid,13613.06
12,12,Credit Card,Paid,77697.22
13,13,Credit Card,Paid,33019.68
14,14,UPI,Refunded,18714.18
15,15,Credit Card,Paid,49010.73
16,16,Credit Card,Paid,3176.98
17,17,Debit Card,Paid,52149.87
18,18,Cash,Paid,89482.1
19,19,Credit Card,Paid,42130.49
20,20,Net Banking,Refunded,72003.58
21,21,Credit Card,Paid,61560.79
22,22,Credit Card,Paid,7765.24
23,23,Debit Card,Paid,64549.34
24,24,UPI,Paid,49165.74
25,25,Cash,Refunded,42632.68
26,26,Debit Card,Refunded,40592.26
27,27,UPI,Paid,12654.09
28,28,Net Banking,Paid,39485.76
29,29,Credit Card,Paid,55292.56
30,30,Credit Card,Paid,56741.99
31,31,Debit Card,Paid,56336.09
32,32,UPI,Paid,30081.92
33,33,UPI,Paid,1943.34
34,34,Debit Card,Paid,3202.79
35,35,Credit Card,Paid,62070.61
36,36,Credit Card,Paid,11855.27
37,37,Net Banking,Refunded,62200.33
38,38,Credit Card,Paid,1262.96
39,39,Cash,Refunded,21884.25
40,40,Credit Card,Paid,21012.97
41,41,Debit Card,Paid,60369
42,42,Credit Card,Paid,18014.98
43,43,Cash,Paid,51816.11
44,44,UPI,Paid,12996.66
45,45,Net Banking,Paid,77842.85
46,46,Net Banking,Paid,63938.94
47,47,Cash,Paid,75668.97
48,48,Debit Card,Paid,34879.98
49,49,UPI,Paid,1129.7
50,50,Debit Card,Paid,23105.25
51,51,UPI,Refunded,6065.7
52,52,Net Banking,Paid,39399.7
53,53,Debit Card,Paid,684.29
54,54,Cash,Paid,26326.44
55,55,UPI,Paid,2764
56,56,Cash,Paid,44235.19
57,57,Credit Card,Paid,85099.76
58,58,Debit Card,Paid,46560.47
59,59,Debit Card,Paid,8901.57
60,60,Net Banking,Paid,73685.04
61,61,Net Banking,Paid,55490.06
62,62,Credit Card,Paid,9154.78
63,63,Debit Card,Paid,11258.56
64,64,Credit Card,Paid,33711.26
65,65,Cash,Paid,12244.37
66,66,Cash,Paid,84209.72
67,67,Net Banking,Paid,17621.66
68,68,Debit Card,Paid,57345.7
69,69,Debit Card,Paid,66693.25
70,70,Debit Card,Paid,44875.88
71,71,Cash,Paid,67229.84
72,72,UPI,Paid,32962.68
73,73,Credit Card,Paid,10688.29
74,74,Net Banking,Paid,73591.3
75,75,Cash,Paid,75183.71
76,76,UPI,Paid,49829.05
77,77,Debit Card,Paid,20128.1
78,78,Credit Card,Refunded,47977.72
79,79,Debit Card,Paid,2082.52
80,80,Cash,Paid,72270.05
81,81,Net Banking,Paid,927.28
82,82,UPI,Paid,10860.64
83,83,Debit Card,Paid,71994.76
84,84,Cash,Paid,74465.51
85,85,Debit Card,Paid,89251.39
86,86,Debit Card,Paid,86378.3
87,87,Debit Card,Paid,53784.28
88,88,Net Banking,Paid,66359.76
89,89,Cash,Paid,40033.03
90,90,UPI,Paid,54771.84
91,91,Cash,Paid,61351.56
92,92,Debit Card,Paid,71834.04
93,93,Credit Card,Paid,68346.07
94,94,UPI,Paid,39961.03
95,95,Cash,Paid,8172.35
96,96,Debit Card,Paid,51427.84
97,97,UPI,Paid,87127.79
98,98,Debit Card,Paid,71879.9
99,99,Credit Card,Paid,59438.99
100,100,Net Banking,Paid,10730.83
101,101,Net Banking,Paid,63926
102,102,Credit Card,Paid,5752.67
103,103,UPI,Paid,24724.83
104,104,Cash,Paid,11952.45
105,105,Credit Card,Paid,79964.56
106,106,Net Banking,Paid,930.81
107,107,UPI,Paid,25484.47
108,108,Cash,Paid,67368.79
109,109,Cash,Paid,54505.53
110,110,Credit Card,Paid,79581.96
111,111,Debit Card,Paid,42148.85
112,112,Credit Card,Paid,62725.07
113,113,Cash,Paid,19248.56
114,114,Credit Card,Paid,79408.96
115,115,Cash,Paid,46348.75
116,116,Cash,Paid,77511.99
117,117,Debit Card,Paid,58780.91
118,118,Net Banking,Paid,69902.03
119,119,Cash,Paid,35814.54
120,120,Credit Card,Refunded,1067.2
121,121,Cash,Paid,44830.8
122,122,Debit Card,Paid,88225.55
123,123,Debit Card,Paid,70430.49
124,124,UPI,Paid,78298.48
125,125,Net Banking,Refunded,76544.91
126,126,Net Banking,Paid,52463.28
127,127,Debit Card,Paid,12448.76
128,128,Net Banking,Paid,25847.39
129,129,UPI,Paid,74781.91
130,130,Debit Card,Refunded,62136.42
131,131,Cash,Paid,22678.86
132,132,Debit Card,Paid,19074.03
133,133,Cash,Paid,85945.99
134,134,Cash,Paid,66747.26
135,135,Net Banking,Paid,63452.64
136,136,Net Banking,Paid,32939.52
137,137,Net Banking,Paid,45812.27
138,138,Cash,Paid,29888.95
139,139,Debit Card,Paid,6762.29
140,140,Debit Card,Paid,89640.98
141,141,Credit Card,Paid,61043.99
142,142,UPI,Paid,5393.99
143,143,Net Banking,Paid,72631.42
144,144,Credit Card,Paid,86169.95
145,145,UPI,Refunded,28672.37
146,146,Net Banking,Paid,44426.08
147,147,Credit Card,Paid,52672.98
148,148,Debit Card,Paid,64480.04
149,149,Net Banking,Paid,1524.77
150,150,Credit Card,Paid,52473.36
151,151,UPI,Paid,85868
152,152,Credit Card,Paid,65605.67
153,153,Net Banking,Paid,83693.79
154,154,Credit Card,Paid,28560.97
155,155,Debit Card,Paid,28426.51
156,156,Net Banking,Paid,72854.92
157,157,UPI,Paid,14282
158,158,Credit Card,Paid,17197.2
159,159,Debit Card,Paid,24325.1
160,160,UPI,Paid,38322.12
161,161,Debit Card,Paid,52788.86
162,162,UPI,Paid,33322.56
163,163,UPI,Paid,82218.26
164,164,UPI,Paid,37173.27
165,165,Debit Card,Paid,17752.17
166,166,Cash,Paid,84350.5
167,167,Net Banking,Paid,24886.3
168,168,Cash,Paid,10270.79
169,169,Cash,Paid,50865.55
170,170,Net Banking,Paid,8663.97
171,171,UPI,Paid,61026.97
172,172,Net Banking,Paid,75893.68
173,173,Credit Card,Paid,66224.38
174,174,Cash,Paid,15446.74
175,175,UPI,Paid,58524.93
176,176,Net Banking,Paid,33011.59
177,177,UPI,Paid,50303.91
178,178,Debit Card,Paid,84331.85
179,179,Debit Card,Paid,73071.68
180,180,Credit Card,Paid,4879.64
181,181,Net Banking,Paid,63600.64
182,182,Cash,Paid,45008.19
183,183,Credit Card,Paid,72240.3
184,184,Net Banking,Paid,21118.19
185,185,Cash,Paid,77246.97
186,186,Net Banking,Paid,5835.96
187,187,Credit Card,Paid,3472.3
188,188,Credit Card,Paid,36207.57
189,189,Cash,Paid,85339.2
190,190,Credit Card,Paid,1858.27
191,191,Debit Card,Paid,13725.1
192,192,Net Banking,Paid,85416.11
193,193,UPI,Paid,9645.25
194,194,Net Banking,Paid,39020.43
195,195,Debit Card,Paid,2431
196,196,UPI,Paid,61135.91
197,197,Debit Card,Paid,18886.41
